Signal Photons,Reflectivity,Channel,Ambiant Photons,Range,Raw Timestamp,Point:0,Point:1,Point:2,Point ID,Angle,Range(m)
0,0,0,0,0,0.0,0.0,0.0,0.0,138,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,139,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,140,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,141,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,142,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,143,,0.0
884,117,0,125,8120,610639000000.0,7.8271,0.0189143,2.1595,144,0.06922790388495569,7.827122853305963
832,111,1,96,8051,610639000000.0,7.83534,0.0149748,1.84947,145,0.05475140800588627,7.835354309808526
802,123,2,92,5142,610639000000.0,5.04466,0.00797211,0.994546,146,0.04527241445161215,5.044666299185493
779,120,3,119,5125,610639000000.0,5.06108,0.00685327,0.805905,147,0.03879243233315824,5.061084640046014
278,74,4,153,4268,610639000000.0,4.23645,0.00319063,0.517255,148,0.021575800307289728,4.2364512014916205
492,109,5,96,4175,610639000000.0,4.1598,0.00182565,0.35536,149,0.012572964223290182,4.159800400619953
64,15,6,58,4040,610639000000.0,4.03514,0.000921489,0.197742,150,0.00654220543152367,4.035140105218402
351,45,7,269,6316,610639000000.0,6.31549,-0.000629557,0.0797643,151,-0.0028557529933099677,6.315490031378563
53,10,8,91,1917,610639000000.0,1.91646,-0.000745275,-0.0452763,152,-0.011140621229785957,1.9164601449116614
0,0,0,0,0,0.0,0.0,0.0,0.0,153,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,154,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,155,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,156,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,157,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,158,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,159,,0.0
850,115,0,171,8130,610640000000.0,7.8367,-0.0291478,2.16216,160,-0.10655238946648175,7.836754205935315
831,111,1,110,8057,610640000000.0,7.84112,-0.0331267,1.85085,161,-0.12102919015952565,7.841189975549176
775,121,2,114,5139,610640000000.0,5.04167,-0.0229682,0.993964,162,-0.1305095156070301,5.0417223175330905
774,120,3,109,5127,610640000000.0,5.063,-0.0242104,0.80622,163,-0.1369882646291217,5.063057884664974
297,79,4,107,4295,610640000000.0,4.26319,-0.0229465,0.520537,164,-0.15419497001017582,4.26325175399744
322,92,5,92,4215,610640000000.0,4.19959,-0.0239233,0.358774,165,-0.16319322783857337,4.199658139942213
60,15,6,65,4021,610640000000.0,4.01609,-0.0237266,0.196809,166,-0.16924648431272954,4.0161600864068605
370,48,7,272,6261,610640000000.0,6.26038,-0.0390397,0.0790684,167,-0.1786457890240803,6.260501724508674
52,10,8,57,1920,610640000000.0,1.91942,-0.0125237,-0.0453477,168,-0.18691713422109776,1.9194608564546685
0,0,0,0,0,0.0,0.0,0.0,0.0,169,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,170,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,171,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,172,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,173,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,174,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,175,,0.0
873,116,0,134,8148,610640000000.0,7.85373,-0.0774028,2.16695,176,-0.2823314643124442,7.854111414179699
842,112,1,109,8073,610640000000.0,7.85634,-0.0813992,1.85453,177,-0.29680893011084014,7.856761675484413
755,120,2,77,5127,610640000000.0,5.02966,-0.0537776,0.991638,178,-0.30629427278398086,5.029947489374194
830,123,3,99,5140,610640000000.0,5.07559,-0.0554155,0.808269,179,-0.31276640927592736,5.075892505337387
327,90,4,130,4273,610640000000.0,4.24113,-0.0488542,0.517863,180,-0.3299846591247011,4.241411370022677
514,111,5,111,4203,610640000000.0,4.18741,-0.0495502,0.35775,181,-0.33897860918500294,4.187703156913111
51,13,6,75,4004,610640000000.0,3.99889,-0.048165,0.195975,182,-0.3450354701303805,3.9991800533765667
434,89,7,106,5025,610640000000.0,5.02421,-0.062206,0.0634289,183,-0.35467856190769986,5.024595079261213
66,12,8,71,1909,610640000000.0,1.90831,-0.0241628,-0.0450862,184,-0.36271687594207025,1.9084629671554645
0,0,0,0,0,0.0,0.0,0.0,0.0,185,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,186,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,187,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,188,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,189,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,190,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,191,,0.0
865,116,0,142,8159,610640000000.0,7.86371,-0.12576,2.16988,192,-0.4581109320568887,7.864715541054235
863,113,1,108,8083,610640000000.0,7.86543,-0.129763,1.85683,193,-0.4725868646074545,7.866500335032663
654,115,2,99,5106,610640000000.0,5.00864,-0.0842924,0.987567,194,-0.4820812518197519,5.009349244991585
750,118,3,97,5123,610640000000.0,5.05837,-0.0862722,0.80559,195,-0.4885520186417881,5.059105647186352
273,72,4,125,4254,610640000000.0,4.22189,-0.0745445,0.515554,196,-0.5057736547866989,4.222548052370779
536,113,5,101,4196,610640000000.0,4.18005,-0.0751178,0.357152,197,-0.5147629443476006,4.1807248996288715
64,16,6,59,4005,610640000000.0,3.99952,-0.0727189,0.196024,198,-0.5208158767152598,4.000181029505691
319,65,7,83,4964,610640000000.0,4.96275,-0.0919061,0.0626571,199,-0.5304750163632274,4.963600940216407
60,11,8,64,1899,610640000000.0,1.89813,-0.0356848,-0.0448485,200,-0.5385162250880295,1.8984654070725229
0,0,0,0,0,0.0,0.0,0.0,0.0,201,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,202,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,203,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,204,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,205,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,206,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,207,,0.0
853,115,0,137,8148,610640000000.0,7.85219,-0.173774,2.16695,208,-0.6338926983750398,7.854112629646713
842,112,1,110,8100,610640000000.0,7.88102,-0.178396,1.86074,209,-0.6483673832274814,7.883038841285511
691,117,2,89,5099,610640000000.0,5.00116,-0.114866,0.98621,210,-0.6578653858865813,5.002478939841326
625,113,3,141,4947,610640000000.0,4.88399,-0.113286,0.777848,211,-0.6643795318579616,4.885303679188838
377,101,4,134,4293,610640000000.0,4.26006,-0.101367,0.520294,212,-0.6815403456782536,4.26126582980797
473,108,5,92,4178,610640000000.0,4.16158,-0.100333,0.355616,213,-0.690548302680115,4.162789306137052
94,24,6,63,4015,610640000000.0,4.00899,-0.0975004,0.196515,214,-0.6965919592557417,4.0101754510370435
326,66,7,66,4977,610640000000.0,4.97509,-0.122675,0.0628216,215,-0.7062521234815119,4.976602220765187
57,10,8,73,1876,610640000000.0,1.87489,-0.0467602,-0.0443018,216,-0.7143370605876591,1.8754730145763334
0,0,0,0,0,0.0,0.0,0.0,0.0,217,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,218,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,219,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,220,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,221,,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,222,,0.0
