Signal Photons,Reflectivity,Channel,Ambiant Photons,Range,Raw Timestamp,Point:0,Point:1,Point:2,Point ID,Angle,Range(m),phi
819,112,0,108,8096,530000000000.0,7.80229,0.1625,2.1531,96,0.020824208030428212,8.095552797931713,37.28797314315542
785,108,1,85,8022,530000000000.0,7.80552,0.158621,1.8428,97,0.020318847458181917,8.021671579667233,38.3594801732047
749,120,2,81,5119,530000000000.0,5.0211,0.100374,0.990087,98,0.01998777813541669,5.118768642695721,39.42369617561857
765,119,3,77,5118,530000000000.0,5.05318,0.0998731,0.804801,99,0.019761832848424376,5.117842064591737,40.47622860337595
206,52,4,112,4224,530000000000.0,4.192,0.08033,0.511907,100,0.019160345787287467,4.223904081007167,41.51952465461161
304,86,5,77,4223,530000000000.0,4.20688,0.0792976,0.359457,101,0.01884727171261702,4.2229535610298585,42.55854280941863
129,31,6,61,4125,530000000000.0,4.11932,0.0767819,0.201915,102,0.01863730172819795,4.124980289624741,43.59714454316351
545,77,7,97,6445,530000000000.0,6.4434,0.117984,0.0813966,103,0.018308783639881462,6.444994118751975,44.6381838720235
0,0,0,0,0,0.0,0.0,0.0,0.0,104,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,105,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,106,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,107,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,108,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,109,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,110,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,111,0.0,0.0,0.0
853,115,0,140,8107,530000000000.0,7.81375,0.114779,2.15603,112,0.014688305295060057,8.106560839359746,37.28796474048999
827,111,1,76,8044,530000000000.0,7.82775,0.111028,1.84786,113,0.014182945961780727,8.043667314035558,38.35945466348433
708,118,2,93,5117,530000000000.0,5.01966,0.0695363,0.989699,114,0.013851904812490773,5.1167690902774465,39.423703256366814
747,118,3,111,5121,530000000000.0,5.05666,0.068906,0.805274,115,0.013625937959541121,5.1208421775633735,40.476221690475114
390,101,4,113,4251,530000000000.0,4.21922,0.0549574,0.515189,116,0.01302475154910047,4.250912540847643,41.51946512887488
477,108,5,77,4200,530000000000.0,4.18437,0.0531907,0.357494,117,0.012711073655206507,4.199950417267148,42.55857687984984
95,23,6,61,4122,530000000000.0,4.11672,0.0514672,0.201768,118,0.012501340585158246,4.121982867128373,43.597146478930284
534,75,7,161,6382,530000000000.0,6.38102,0.0776769,0.0805995,119,0.012172515287005357,6.3820017408798835,44.63819079526042
49,9,8,61,1839,530000000000.0,1.83835,0.0218371,-0.0434224,120,0.011878082519617672,1.838992410603744,45.676498576462244
0,0,0,0,0,0.0,0.0,0.0,0.0,121,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,122,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,123,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,124,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,125,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,126,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,127,0.0,0.0,0.0
828,113,0,0,8111,530000000000.0,7.81816,0.0668656,2.1571,128,0.008552392088766247,8.110559611029522,37.28794098876675
793,108,1,9,8043,530000000000.0,7.82732,0.0629883,1.84763,129,0.008047063412107232,8.042676328513842,38.359463236128526
746,119,2,0,5123,530000000000.0,5.02588,0.0387807,0.990862,130,0.007716047809141755,5.122770853760344,39.423691155209056
773,120,3,0,5127,530000000000.0,5.06292,0.0379222,0.80622,131,0.007490043461621713,5.126849686508552,40.47621436921904
273,72,4,29,4245,530000000000.0,4.21352,0.0290264,0.51446,132,0.0068887630410518095,4.244910177365,41.5194756266521
254,69,5,16,4149,530000000000.0,4.13381,0.0271779,0.35314,133,0.006574445469368192,4.148955484691107,42.558669613640895
97,23,6,13,4113,530000000000.0,4.10797,0.0261488,0.201326,134,0.006365296446195951,4.112983520379998,43.59715686024139
661,100,7,0,6494,530000000000.0,6.49336,0.0392022,0.0820166,135,0.0060372016522742405,6.493996275388553,44.638178883569594
43,8,8,16,1830,530000000000.0,1.82945,0.0105041,-0.0432084,136,0.00574160790044998,1.8299903290584272,45.676475991341775
0,0,0,0,0,0.0,0.0,0.0,0.0,137,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,138,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,139,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,140,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,141,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,142,0.0,0.0,0.0
0,0,0,0,0,0.0,0.0,0.0,0.0,143,0.0,0.0,0.0
847,115,0,128,8114,530000000000.0,7.82131,0.0189001,2.1579,144,0.002416483071458783,8.113555308240649,37.287929053129496
830,111,1,72,8047,530000000000.0,7.83145,0.0149672,1.84855,145,0.001911163549176654,8.04667448217435,38.35945770831876
756,120,2,85,5124,530000000000.0,5.027,0.00794335,0.991056,146,0.0015801359436910876,5.123766592258592,39.42368316996634
