Angle,Range
-5.987795525,1.863476544
,0
,0
,0
,0
,0
,0
,0
-6.083055139,8.365922605
-6.097534393,8.366712579
-6.106505339,8.370348723
-6.113000479,8.384020473
-6.129997686,8.313988176
-6.139210792,6.408561122
-6.14522433,6.14659332
-6.155309532,5.606546509
-6.163432127,1.940456083
,0
,0
,0
,0
,0
,0
,0
-6.258853245,8.234839777
-6.27330372,8.379362352
-6.28230234,8.393892503
-6.288802041,8.401796689
-6.305754307,8.435083899
-6.314984362,6.471329822
-6.320988255,6.389297777
-6.331060711,5.744539072
-6.339268566,1.922455562
,0
,0
,0
,0
,0
,0
,0
-6.434648181,8.011216229
-6.449100168,8.212947397
-6.458081895,8.413507092
-6.464579051,8.424502582
-6.481547384,8.454936096
-6.490779092,6.475323605
-6.496767702,6.473193269
-6.506910814,5.440566764
-6.515149326,1.866469783
,0
,0
,0
,0
,0
,0
,0
-6.610434198,7.946640397
-6.6248889,8.139954387
-6.633841501,8.42920843
-6.640334615,8.449191521
-6.657336483,8.457919493
-6.666528605,6.477309518
-6.672964708,4.542524752
-6.682691057,5.570554446
-6.690900802,1.874472997
,0
,0
,0
,0
,0
,0
,0
-6.786215708,7.924468472
-6.800692544,8.069887444
-6.809646364,8.449803536
-6.816132234,8.475858208
-6.833143718,8.147242227
-6.842308822,6.48527978
-6.848783796,4.464627701
-6.858695253,4.562629001
-6.866654001,1.888468921
,0
,0
,0
,0
,0
,0
,0
-6.961986118,8.004474383
-6.976470319,7.998843069
-6.985434701,8.479237723
-6.991907376,8.505478119
-7.009044481,7.110979959
-7.018040244,6.821054941
-7.024524755,4.481602496
-7.034503099,4.542632366
-7.04233608,1.941455686
,0
,0
,0
,0
,0
,0
,0
-7.137788925,8.004470642
-7.152230152,8.125364743
-7.1611893,8.511607708
-7.167680467,8.529182228
-7.184817484,7.045468735
-7.193836293,6.847954836
-7.200360702,4.477606255
-7.210255741,4.544632886
-7.218075747,1.97943869
-7.235749679,0.892390713
,0
,0
,0
,0
,0
,0
-7.31357335,8.000623144
-7.328018082,8.146768074
-7.336963297,8.539078002
-7.343448636,8.551896741
-7.360933297,5.20719795
-7.369936711,5.216934501
-7.376152913,4.44963928
-7.386086766,4.5236383
-7.393811772,2.00343674
,0
,0
,0
,0
,0
,0
,0
-7.489339906,8.007363659
-7.503799332,8.154559864
-7.512757628,8.568513431
-7.519251012,8.594352076
-7.536746574,5.208187885
-7.545676516,5.206968261
-7.551844748,4.696341092
-7.56183588,4.499635221
-7.569829945,1.872469523
-7.587347622,0.889396295
,0
,0
,0
,0
,0
,0
-7.665112507,8.044954907
-7.679581841,8.297614025
-7.688541195,8.591077282
-7.695020711,8.612127581
-7.712529167,5.200247216
-7.72148962,5.212948655
-7.72758694,4.712321133
-7.737623729,4.48463686
-7.745492029,1.931454942
,0
,0
,0
,0
,0
,0
,0
-7.840901087,8.063274059
-7.855343599,8.292746602
-7.864315503,8.610695384
-7.870788851,8.599295486
-7.888303195,5.217123833
-7.897231997,5.248812609
-7.903358203,4.710325939
-7.913400116,4.500636761
-7.921182948,1.988438035
,0
,0
,0
,0
,0
,0
,0
-8.016662413,8.105681149
-8.031145705,8.233379119
-8.040093493,8.633256212
-8.046580701,8.609163788
-8.064062879,5.197269409
-8.0729994,5.269738469
-8.079174811,4.701340629
-8.089211906,4.523642208
-8.097065402,1.921459158
,0
,0
,0
,0
,0
,0
,0
-8.192468686,8.113389626
-8.20692484,8.142877278
